symbol,start_date,end_date,total_days,years_available,strategy_start_with_buffer,days_available_after_buffer,years_after_buffer,record_count
ADANIENT,2025-11-13,2025-11-27,14,0.038329911019849415,2027-08-05,-616,0.0,11
HAVELLS,2025-11-13,2025-11-27,14,0.038329911019849415,2027-08-05,-616,0.0,11
MOTHERSON,2025-11-13,2025-11-27,14,0.038329911019849415,2027-08-05,-616,0.0,11
ALIVUS,2025-01-13,2025-11-27,318,0.8706365503080082,2026-10-05,-312,0.0,218
IGIL,2024-12-20,2025-11-27,342,0.9363449691991786,2026-09-11,-288,0.0,233
IKS,2024-12-19,2025-11-27,343,0.9390828199863107,2026-09-10,-287,0.0,234
SAILIFE,2024-12-18,2025-11-27,344,0.9418206707734429,2026-09-09,-286,0.0,236
VMM,2024-12-18,2025-11-27,344,0.9418206707734429,2026-09-09,-286,0.0,236
HBLENGINE,2024-12-12,2025-11-27,350,0.9582477754962354,2026-09-03,-280,0.0,239
NTPCGREEN,2024-11-27,2025-11-27,365,0.999315537303217,2026-08-19,-265,0.0,251
NIVABUPA,2024-11-14,2025-11-27,378,1.0349075975359343,2026-08-06,-252,0.0,258
ACMESOLAR,2024-11-13,2025-11-27,379,1.0376454483230664,2026-08-05,-251,0.0,259
SWIGGY,2024-11-13,2025-11-27,379,1.0376454483230664,2026-08-05,-251,0.0,259
SAGILITY,2024-11-12,2025-11-27,380,1.0403832991101984,2026-08-04,-250,0.0,260
AFCONS,2024-11-04,2025-11-27,388,1.0622861054072552,2026-07-27,-242,0.0,266
WAAREEENER,2024-10-28,2025-11-27,395,1.08145106091718,2026-07-20,-235,0.0,271
HYUNDAI,2024-10-22,2025-11-27,401,1.0978781656399725,2026-07-14,-229,0.0,275
BAJAJHFL,2024-09-16,2025-11-27,437,1.1964407939767283,2026-06-08,-193,0.0,300
RAYMONDLSL,2024-09-05,2025-11-27,448,1.2265571526351813,2026-05-28,-182,0.0,304
PREMIERENE,2024-09-03,2025-11-27,450,1.2320328542094456,2026-05-26,-180,0.0,309
FIRSTCRY,2024-08-13,2025-11-27,471,1.2895277207392197,2026-05-05,-159,0.0,322
OLAELEC,2024-08-09,2025-11-27,475,1.3004791238877482,2026-05-01,-155,0.0,325
AKUMS,2024-08-06,2025-11-27,478,1.3086926762491444,2026-04-28,-152,0.0,324
EMCURE,2024-07-10,2025-11-27,505,1.3826146475017111,2026-04-01,-125,0.0,342
AEGISLOG,2024-05-30,2025-11-27,546,1.4948665297741273,2026-02-19,-84,0.0,370
UNITDSPR,2024-05-30,2025-11-27,546,1.4948665297741273,2026-02-19,-84,0.0,370
GODIGIT,2024-05-23,2025-11-27,553,1.514031485284052,2026-02-12,-77,0.0,378
AADHARHFC,2024-05-15,2025-11-27,561,1.5359342915811087,2026-02-04,-69,0.0,383
TBOTEK,2024-05-15,2025-11-27,561,1.5359342915811087,2026-02-04,-69,0.0,383
INDGN,2024-05-13,2025-11-27,563,1.541409993155373,2026-02-02,-67,0.0,386
AIIL,2024-04-23,2025-11-27,583,1.596167008898015,2026-01-13,-47,0.0,395
BHARTIHEXA,2024-04-12,2025-11-27,594,1.626283367556468,2026-01-02,-36,0.0,404
JYOTICNC,2024-01-16,2025-11-27,681,1.864476386036961,2025-10-07,51,0.13963039014373715,462
INOXINDIA,2023-12-21,2025-11-27,707,1.9356605065023955,2025-09-11,77,0.2108145106091718,479
DOMS,2023-12-20,2025-11-27,708,1.9383983572895278,2025-09-10,78,0.2135523613963039,480
TATATECH,2023-11-30,2025-11-27,728,1.9931553730321698,2025-08-21,98,0.2683093771389459,489
IREDA,2023-11-29,2025-11-27,729,1.995893223819302,2025-08-20,99,0.27104722792607805,495
HONASA,2023-11-07,2025-11-27,751,2.0561259411362083,2025-07-29,121,0.33127994524298426,508
LTFOODS,2023-10-30,2025-11-27,759,2.078028747433265,2025-07-21,129,0.3531827515400411,510
ARE&M,2023-10-18,2025-11-27,771,2.11088295687885,2025-07-09,141,0.3860369609856263,517
JSWINFRA,2023-10-03,2025-11-27,786,2.1519507186858315,2025-06-24,156,0.4271047227926078,528
SIGNATURE,2023-09-27,2025-11-27,792,2.1683778234086244,2025-06-18,162,0.44353182751540043,535
NUVAMA,2023-09-26,2025-11-27,793,2.1711156741957565,2025-06-17,163,0.4462696783025325,532
RRKABEL,2023-09-15,2025-11-27,804,2.2012320328542097,2025-06-06,174,0.47638603696098564,537
JIOFIN,2023-08-21,2025-11-27,829,2.269678302532512,2025-05-12,199,0.5448323066392882,557
CONCORDBIO,2023-08-18,2025-11-27,832,2.2778918548939084,2025-05-09,202,0.5530458590006845,563
ADANIENSOL,2023-08-16,2025-11-27,834,2.2833675564681726,2025-05-07,204,0.5585215605749486,560
SBFC,2023-08-16,2025-11-27,834,2.2833675564681726,2025-05-07,204,0.5585215605749486,560
NETWEB,2023-07-27,2025-11-27,854,2.3381245722108144,2025-04-17,224,0.6132785763175906,578
LLOYDSME,2023-07-17,2025-11-27,864,2.3655030800821355,2025-04-07,234,0.6406570841889117,586
PTCIL,2023-06-09,2025-11-27,902,2.4695414099931554,2025-02-28,272,0.7446954140999316,610
KPIL,2023-05-30,2025-11-27,912,2.4969199178644765,2025-02-18,282,0.7720739219712526,602
MANKIND,2023-05-09,2025-11-27,933,2.5544147843942504,2025-01-28,303,0.8295687885010267,634
